Index,Time(ns)
1018000,2794
1019000,2514
1020000,2794
1021000,2793
1022000,3073
1023000,2235
1024000,3073
1025000,2515
1026000,3073
1027000,2515
1028000,2794
1029000,2794
1030000,2235
1031000,2794
1032000,2793
1033000,2793
1034000,2794
1035000,2793
1036000,3073
1037000,3073
1038000,3073
1039000,3073
1040000,2794
1041000,2794
1042000,2515
1043000,2515
1044000,3073
1045000,2793
1046000,2235
1047000,3073
1048000,2794
1049000,2794
1050000,3073
1051000,3073
1052000,2514
1053000,2793
1054000,2514
1055000,3073
1056000,2794
1057000,2794
1058000,2793
1059000,2235
1060000,2793
1061000,2794
1062000,3073
1063000,2514
1064000,2514
1065000,3632
1066000,4190
1067000,2794
1068000,3073
1069000,3073
1070000,2514
1071000,2514
1072000,2794
1073000,2515
1074000,3073
1075000,2514
1076000,2515
1077000,2794
1078000,3073
1079000,2794
1080000,2793
1081000,2793
1082000,4750
1083000,2794
1084000,2515
1085000,2235
1086000,3073
1087000,2793
1088000,3352
1089000,3073
1090000,2793
1091000,2793
1092000,2514
1093000,2515
1094000,3073
1095000,3073
1096000,3073
1097000,2514
1098000,2794
1099000,2235
1100000,3353
1101000,2514
1102000,2514
1103000,2514
1104000,2794
1105000,3352
1106000,3352
1107000,3073
1108000,2794
1109000,2794
1110000,3352
1111000,2793
1112000,3073
1113000,2793
1114000,2794
1115000,2515
1116000,2235
1117000,2794
1118000,3352
1119000,3352
1120000,3073
1121000,3073
1122000,2794
1123000,3073
1124000,2514
1125000,2793
1126000,2514
1127000,2794
1128000,2514
1129000,3073
1130000,3911
1131000,2794
1132000,2794
1133000,2794
1134000,2793
1135000,2514
1136000,3073
1137000,2794
1138000,2794
1139000,2793
1140000,2515
1141000,3912
1142000,2515
1143000,2794
1144000,3073
1145000,2515
1146000,2794
1147000,3073
1148000,2514
1149000,2794
1150000,3632
1151000,2793
1152000,3073
1153000,2514
1154000,2514
1155000,2515
1156000,3073
1157000,2794
1158000,2793
1159000,3073
1160000,2794
1161000,3073
1162000,2515
1163000,5867
1164000,2794
1165000,3353
1166000,2794
1167000,2794
1168000,2794
1169000,3073
1170000,2793
1171000,3353
1172000,2794
1173000,2793
1174000,3073
1175000,3911
1176000,2793
1177000,3353
1178000,3073
1179000,2794
1180000,3073
1181000,2793
1182000,2794
1183000,2793
1184000,2515
1185000,3073
1186000,2793
1187000,2514
1188000,3073
1189000,2515
1190000,3073
1191000,2794
1192000,3073
1193000,2793
1194000,2514
1195000,2514
1196000,2794
1197000,3073
1198000,2794
1199000,2794
1200000,2794
1201000,3632
1202000,2794
1203000,2793
1204000,2794
1205000,2515
1206000,2793
1207000,2794
1208000,3353
